parte_inclusion_digital,sexo,edad,departamento,ciudad,unidad_educativa,normalista,tecnico,licenciatura,especializacion,maestria,doctorado,otro,experiencia,tiempo_establecimiento,tiempo_establecimiento,area,curso_tecnologia,institucion,tiene_computadora,tipo_computadora,numero_computadoras,tienen_tablets,numero_tablet,origen_computadora,internet_casa,internet_movil,internet_colegio,ultima_semana_internet
Sí,Femenino,34,La Paz,La Paz,ELISA DE BALLIVIAN,1,0,1,0,0,0,,10,Más de un año,5,"Vida, Tierra y Territorio",1,,1,Computadora portátil,2,1,1,Por cuenta propia,Sí,Sí,No,Sí
Sí,Femenino,45,La Paz,La Paz,ELISA DE BALLIVIAN,1,0,1,1,0,0,,18,Más de un año,6,"Ciencia, Tecnología y Producción",1,Ofinatica en Educacion - Fundacion La Paz,1,Computadora portátil,2,1,2,Dotada por el ministerio,Sí,Sí,No,Sí
Sí,Femenino,46,La Paz,La Paz,ELISA DE BALLIVIAN,0,0,0,1,0,0,,12,Más de un año,7,Cosmos y Pensamiento,1,"Infogramas, prezi, powton en UNEFCO",1,Computadora portátil,2,0,NA,Otro,Sí,Sí,No,Sí
Sí,Femenino,45,Oruro,Oruro,JUAN MISAEL SARACHO SECUNDARIA,1,0,1,0,0,0,,22,Más de un año,17,"Vida, Tierra y Territorio",1,,1,Computadora portátil,2,0,NA,Dotada por el ministerio,Sí,Sí,Sí,Sí
Sí,Femenino,39,La Paz,La Paz,ELISA DE BALLIVIAN,0,0,1,0,0,0,,6,Más de un año,4,Comunidad y Sociedad,0,,1,Computadora portátil,1,0,NA,Dotada por el ministerio,No,Sí,No,Sí
No,Masculino,38,La Paz,La Paz,ELISA DE BALLIVIAN,1,0,1,0,1,0,,11,Menos de un año,NA,Comunidad y Sociedad,0,,1,Computadora de escritorio,4,1,2,Por cuenta propia,Sí,Sí,No,Sí
Sí,Femenino,54,Cochabamba,Quillacollo,EL PASO A,1,0,1,0,0,0,,29,Más de un año,17,Comunidad y Sociedad,1,Tics ,1,Computadora portátil,1,1,1,Dotada por el ministerio,Sí,Sí,No,Sí
Sí,Masculino,34,La Paz,La Paz,25 DE MAYO,1,0,0,0,0,0,,7,Menos de un año,NA,Comunidad y Sociedad,1,Uso de software libre,1,Computadora portátil,1,0,NA,Por cuenta propia,Sí,Sí,No,Sí
Sí,Femenino,50,La Paz,La Paz,ELISA DE BALLIVIAN,0,0,1,0,0,0,,13,Más de un año,13,Comunidad y Sociedad,0,,1,Computadora de escritorio,2,1,1,Dotada por el ministerio,Sí,Sí,No,Sí
Sí,Femenino,46,La Paz,La Paz,ELISA DE BALLIVIAN,1,0,1,1,0,0,,22,Más de un año,14,"Vida, Tierra y Territorio",0,,1,Computadora portátil,2,0,NA,Dotada por el ministerio,Sí,Sí,No,Sí
Sí,Femenino,56,La Paz,La Paz,ELISA DE BALLIVIAN,1,0,0,0,0,0,,26,Más de un año,23,"Ciencia, Tecnología y Producción",0,,1,Computadora portátil,2,1,1,Dotada por el ministerio,Sí,Sí,No,Sí
Sí,Masculino,45,La Paz,La Paz,ELISA DE BALLIVIAN,1,0,0,0,0,0,,19,Más de un año,10,Comunidad y Sociedad,1,Finale ,1,Computadora portátil,1,1,2,Dotada por el ministerio,Sí,Sí,No,Sí
Sí,Masculino,31,La Paz,La Paz,ELISA DE BALLIVIAN,1,0,1,1,0,0,,10,Más de un año,4,Comunidad y Sociedad,1,RECURSOS TECNOLÓGICOS DEL AULA EN EL MESC CIENCIAS SOCIALES,1,Computadora de escritorio,2,0,NA,Por cuenta propia,Sí,Sí,No,Sí
Sí,Femenino,40,La Paz,La Paz,ELISA DE BALLIVIAN,1,0,1,0,0,0,,16,Más de un año,11,Comunidad y Sociedad,1,Ofimatica,1,Computadora portátil,2,1,1,Dotada por el ministerio,Sí,Sí,No,Sí
Sí,Femenino,43,La Paz,La Paz,ELISA DE BALLIVIAN,1,0,1,1,0,0,,18,Más de un año,5,Cosmos y Pensamiento,1,Capacitación de uso tecnología,1,Computadora portátil,1,0,NA,Dotada por el ministerio,Sí,Sí,Sí,Sí
No,Masculino,55,La Paz,La Paz,ELISA DE BALLIVIAN,1,0,1,0,0,0,,28,Más de un año,7,Cosmos y Pensamiento,0,,1,Computadora portátil,2,1,1,Dotada por el ministerio,Sí,Sí,No,Sí
Sí,Femenino,42,La Paz,La Paz,ELISA DE BALLIVIAN,0,0,1,0,0,0,,11,Más de un año,12,Cosmos y Pensamiento,1,Geohebra audaciti y otros,1,Computadora portátil,1,1,1,Dotada por el ministerio,No,Sí,No,Sí
Sí,Femenino,54,La Paz,La Paz,ELISA DE BALLIVIAN,1,0,1,1,0,0,,20,Más de un año,10,Comunidad y Sociedad,1,Agetics,1,Computadora portátil,1,0,NA,Dotada por el ministerio,Sí,Sí,No,Sí
No,Femenino,32,La Paz,El Alto,ALTO DE LA ALIANZA MAÑANA,1,0,1,0,0,0,,10,Más de un año,8,"Vida, Tierra y Territorio",1,Uso de las tics en el área de Biología y geografía ,1,Computadora portátil,1,0,NA,Dotada por el ministerio,Sí,Sí,Sí,Sí
Sí,Femenino,43,La Paz,La Paz,ELISA DE BALLIVIAN,1,0,1,1,0,0,,23,Más de un año,16,Comunidad y Sociedad,0,,1,Computadora portátil,2,1,1,Dotada por el ministerio,Sí,Sí,No,Sí
Sí,Femenino,50,La Paz,La Paz,ELISA DE BALLIVIAN,1,0,1,0,0,0,,27,Más de un año,17,"Ciencia, Tecnología y Producción",1,Devian. Plataformas educativas. Tics en aula,1,Computadora de escritorio,1,1,1,Dotada por el ministerio,Sí,Sí,No,Sí
Sí,Femenino,39,La Paz,El Alto,1RO. DE MAYO TARDE,1,0,1,0,0,0,,10,Más de un año,8,Comunidad y Sociedad,0,,1,Computadora portátil,2,0,NA,Dotada por el ministerio,Sí,Sí,No,Sí
Sí,Femenino,55,La Paz,La Paz,ELISA DE BALLIVIAN,1,0,1,0,0,0,,33,Más de un año,6,Comunidad y Sociedad,1,Uso de las herramientas tecnologicas,1,Computadora de escritorio,1,0,NA,Otro,Sí,Sí,No,Sí
Sí,Femenino,49,La Paz,La Paz,ELISA DE BALLIVIAN,0,0,0,0,1,0,,25,Más de un año,5,"Ciencia, Tecnología y Producción",1,,1,Computadora portátil,1,0,NA,Dotada por el ministerio,Sí,No,No,No
Sí,Masculino,39,La Paz,El Alto,ELIZARDO PEREZ TARDE,0,0,1,0,0,0,,6,Más de un año,3,Comunidad y Sociedad,1,Uso de kuas en aula,1,Computadora de escritorio,1,0,NA,Por cuenta propia,Sí,Sí,No,Sí
Sí,Masculino,38,La Paz,La Paz,MAX VALDIVIA,1,0,1,0,0,0,,10,Más de un año,6,Comunidad y Sociedad,1,Agetic,1,Computadora portátil,1,1,1,Dotada por el ministerio,Sí,Sí,No,Sí
Sí,Femenino,40,La Paz,La Paz,ELISA DE BALLIVIAN,0,0,1,0,0,0,,17,Más de un año,6,Comunidad y Sociedad,1,Java,1,Computadora portátil,1,1,1,Dotada por el ministerio,Sí,No,No,Sí
Sí,Femenino,58,La Paz,La Paz,ELISA DE BALLIVIAN,1,0,1,0,1,0,,30,Más de un año,10,"Vida, Tierra y Territorio",0,,1,Computadora de escritorio,1,1,1,Dotada por el ministerio,Sí,No,No,Sí
Sí,Femenino,55,La Paz,El Alto,BAUTISTA SAAVEDRA,1,0,1,0,0,0,,27,Más de un año,9,Cosmos y Pensamiento,0,,0,,NA,0,NA,Dotada por el ministerio,No,Sí,No,Sí
Sí,Masculino,42,La Paz,La Paz,PEDRO POVEDA A,0,0,1,0,0,0,,18,Más de un año,4,Cosmos y Pensamiento,1,Agetic,1,Computadora portátil,1,0,NA,Dotada por el ministerio,Sí,Sí,Sí,Sí
Sí,Masculino,35,La Paz,El Alto,U.E. ARMADA BOLIVIANA,0,0,1,0,0,0,,13,Menos de un año,NA,"Ciencia, Tecnología y Producción",1,Manejo de kuas,1,Computadora portátil,1,0,NA,Por cuenta propia,Sí,Sí,No,Sí
Sí,Femenino,35,Santa Cruz,Santa Cruz de la Sierra,JOSEFINA GOITIA I,1,0,1,0,0,0,,10,Más de un año,2,Comunidad y Sociedad,0,,1,Computadora portátil,1,0,NA,Dotada por el ministerio,Sí,Sí,No,Sí
Sí,Femenino,41,Chuquisaca,Sucre,MARIA JOSEFA MUJIA,1,0,0,0,0,0,,12,Más de un año,4,"Ciencia, Tecnología y Producción",1,inclusion digital,1,Computadora portátil,2,0,NA,Por cuenta propia,Sí,Sí,No,Sí
Sí,Femenino,39,Santa Cruz,Santa Cruz de la Sierra,MODULO EDUCATIVO EL FUERTE A,1,0,0,0,0,0,,9,Más de un año,9,Comunidad y Sociedad,1,manejo de excel,1,Computadora portátil,1,0,NA,Dotada por el ministerio,No,Sí,No,Sí
Sí,Masculino,58,Santa Cruz,Santa Cruz de la Sierra,JOSEFINA GOITIA I,1,0,1,1,0,0,,19,Más de un año,19,Comunidad y Sociedad,1,Tecnología de la información y la comunicacion,1,Computadora portátil,2,0,NA,Dotada por el ministerio,Sí,Sí,No,Sí
Sí,Masculino,43,La Paz,El Alto,ADELA ZAMUDIO,1,0,0,0,0,0,,20,Más de un año,7,Comunidad y Sociedad,1,Uso de TIC mediante red ,1,Computadora de escritorio,2,0,NA,Por cuenta propia,Sí,Sí,Sí,Sí
Sí,Femenino,65,La Paz,La Paz,MAX VALDIVIA,1,0,1,0,0,0,,40,Más de un año,4,Comunidad y Sociedad,1,TIC's,1,Computadora portátil,1,0,NA,Dotada por el ministerio,Sí,Sí,No,Sí
Sí,Masculino,65,Oruro,Oruro,JUAN MISAEL SARACHO SECUNDARIA,1,0,0,1,0,0,,30,Más de un año,10,"Ciencia, Tecnología y Producción",1,Cursos en la Normal uso de KUAAs,1,Computadora portátil,2,1,1,Otro,Sí,Sí,No,Sí
Sí,Masculino,63,Oruro,Oruro,JUAN MISAEL SARACHO SECUNDARIA,1,0,0,0,0,0,,5,Menos de un año,NA,"Ciencia, Tecnología y Producción",0,,1,Computadora portátil,1,0,NA,Por cuenta propia,Sí,Sí,No,Sí
Sí,Masculino,48,La Paz,La Paz,CRISTIANO VIDA NUEVA,0,0,1,0,0,0,,19,Más de un año,4,"Ciencia, Tecnología y Producción",1,"Tics, realizar presentaciones ",1,Computadora portátil,1,0,NA,Por cuenta propia,No,No,No,No
Sí,Femenino,38,Chuquisaca,Sucre,MARIA JOSEFA MUJIA,0,0,1,0,0,0,,11,Más de un año,3,Comunidad y Sociedad,1,INCLUSION DIGITAL,1,Computadora portátil,3,0,NA,Por cuenta propia,Sí,Sí,No,Sí
Sí,Masculino,44,La Paz,La Paz,ELISA DE BALLIVIAN,1,0,0,0,0,0,,17,Más de un año,1,"Vida, Tierra y Territorio",0,,1,Computadora portátil,1,0,NA,Dotada por el ministerio,Sí,Sí,No,Sí
Sí,Femenino,39,La Paz,El Alto,ALTO DE LA ALIANZA MAÑANA,0,0,1,0,0,0,,14,Más de un año,8,"Ciencia, Tecnología y Producción",1,Geogebra,1,Computadora portátil,1,0,NA,Dotada por el ministerio,Sí,Sí,No,Sí
Sí,Femenino,48,Chuquisaca,Sucre,MARIA JOSEFA MUJIA,1,0,0,0,0,0,,15,Más de un año,6,Comunidad y Sociedad,1,INCLUSION DIGITAL ,1,Computadora portátil,1,0,NA,Dotada por el ministerio,No,Sí,No,Sí
Sí,Masculino,44,La Paz,El Alto,ALTO DE LA ALIANZA MAÑANA,1,0,1,0,0,0,,15,Más de un año,13,Comunidad y Sociedad,0,,1,Computadora portátil,1,0,NA,Dotada por el ministerio,No,Sí,No,No
Sí,Femenino,39,Santa Cruz,Santa Cruz de la Sierra,CASTULO CHAVEZ MAÑANA,1,0,0,0,0,0,,12,Más de un año,5,Comunidad y Sociedad,1,Elaboración de contenido digital,1,Computadora portátil,1,0,NA,Dotada por el ministerio,No,Sí,No,Sí
Sí,Femenino,37,Chuquisaca,Sucre,MARIA JOSEFA MUJIA,1,0,0,0,0,0,,8,Más de un año,2,Cosmos y Pensamiento,1,INCLUSION DIGITAL,1,Computadora portátil,1,0,NA,Dotada por el ministerio,Sí,Sí,No,No
Sí,Femenino,34,La Paz,La Paz,HUGO DAVILA A,0,0,1,0,0,0,,12,Más de un año,9,Comunidad y Sociedad,1,Agetic,1,Computadora portátil,3,0,NA,Otro,Sí,Sí,No,Sí
Sí,Femenino,30,Santa Cruz,Santa Cruz de la Sierra,MODULO EDUCATIVO EL FUERTE A,1,1,1,0,0,0,,4,Más de un año,2,"Ciencia, Tecnología y Producción",0,,1,Computadora portátil,1,0,NA,Por cuenta propia,Sí,Sí,No,Sí
Sí,Femenino,45,La Paz,El Alto,JOSE MANUEL PANDO,1,0,0,0,0,0,,23,Menos de un año,NA,"Ciencia, Tecnología y Producción",1,Uso de las tic's,1,Computadora portátil,2,0,NA,Dotada por el ministerio,Sí,Sí,No,Sí
Sí,Masculino,43,La Paz,La Paz,COPACABANA C,1,0,1,0,0,0,,22,Más de un año,3,Comunidad y Sociedad,1,Manejo y utilizacion de kuaas y programas digitales para la asignatura,1,Computadora portátil,1,0,NA,Dotada por el ministerio,No,No,Sí,Sí
Sí,Masculino,62,La Paz,La Paz,MAX VALDIVIA,1,0,0,0,0,0,,39,Más de un año,35,Comunidad y Sociedad,0,,1,Computadora portátil,1,0,NA,Dotada por el ministerio,Sí,No,No,No
Sí,Femenino,56,Santa Cruz,Santa Cruz de la Sierra,JOSEFINA GOITIA I,1,0,0,0,0,0,,31,Más de un año,26,"Vida, Tierra y Territorio",1,Uso de las tics,1,Computadora portátil,1,0,NA,Dotada por el ministerio,Sí,Sí,No,Sí
Sí,Femenino,45,Chuquisaca,Sucre,MARIA JOSEFA MUJIA,1,0,0,0,0,0,,15,Más de un año,6,Comunidad y Sociedad,1,INCLUSION DIGITAL,1,Computadora de escritorio,1,0,NA,Por cuenta propia,No,Sí,No,Sí
Sí,Femenino,49,Chuquisaca,Sucre,MARIA JOSEFA MUJIA,1,0,0,0,0,0,,17,Más de un año,8,"Vida, Tierra y Territorio",1,INCLUSION DIGITAL ,1,Computadora portátil,1,0,NA,Dotada por el ministerio,No,Sí,No,Sí
Sí,Femenino,32,Chuquisaca,Sucre,MARIA JOSEFA MUJIA,1,0,0,0,0,0,,4,Menos de un año,NA,"Ciencia, Tecnología y Producción",1,INCLUSION DIGITAL ,1,Computadora de escritorio,2,1,1,Por cuenta propia,No,Sí,No,Sí
Sí,Masculino,60,La Paz,La Paz,SAN SIMON DE AYACUCHO A,1,0,1,0,0,0,,31,Más de un año,4,Comunidad y Sociedad,1,Tic's en el aula,1,Computadora de escritorio,2,1,3,Por cuenta propia,Sí,Sí,No,Sí
Sí,Masculino,71,La Paz,La Paz,SAN SIMON DE AYACUCHO A,0,0,1,0,0,0,,44,Más de un año,44,"Vida, Tierra y Territorio",1,Inclusión digital,1,Computadora de escritorio,2,0,NA,Por cuenta propia,Sí,Sí,No,Sí
Sí,Femenino,31,La Paz,La Paz,HUGO DAVILA A,1,0,1,0,0,0,,8,Más de un año,4,"Vida, Tierra y Territorio",1,Interactuando con las tics ,1,Computadora portátil,2,0,NA,Otro,Sí,Sí,No,Sí
Sí,Masculino,38,La Paz,El Alto,JOSE MANUEL PANDO,0,0,1,0,0,0,,12,Más de un año,1,Comunidad y Sociedad,1,Manejo mapas mentales conceptuales,1,Computadora portátil,1,0,NA,Dotada por el ministerio,No,Sí,No,Sí
Sí,Masculino,60,La Paz,La Paz,NATALIA PALACIOS,1,0,0,0,0,0,,35,Más de un año,11,"Vida, Tierra y Territorio",1,Inclusión digital,1,Computadora portátil,2,0,NA,Dotada por el ministerio,Sí,Sí,No,Sí
Sí,Masculino,46,La Paz,El Alto,U.E. ARMADA BOLIVIANA,1,0,1,1,0,0,,19,Más de un año,6,Cosmos y Pensamiento,1,SEMINARIO AGETIC,1,Computadora portátil,2,1,1,Dotada por el ministerio,Sí,Sí,Sí,Sí
Sí,Femenino,34,Santa Cruz,Santa Cruz de la Sierra,NACIONAL AYACUCHO,1,0,1,1,0,0,,6,Más de un año,4,"Vida, Tierra y Territorio",1,,1,Computadora portátil,1,1,1,Dotada por el ministerio,Sí,Sí,No,Sí
Sí,Masculino,56,La Paz,La Paz,CRISTIANO VIDA NUEVA,0,0,0,0,1,0,,25,Más de un año,21,Comunidad y Sociedad,1,Diseño gráfico computarizado,1,Computadora portátil,3,0,NA,Dotada por el ministerio,Sí,Sí,No,Sí
Sí,Femenino,42,La Paz,La Paz,PEDRO POVEDA A,1,0,1,0,0,0,,15,Más de un año,7,"Vida, Tierra y Territorio",1,Las tic's,1,Computadora portátil,2,0,NA,Dotada por el ministerio,Sí,Sí,No,Sí
Sí,Masculino,49,La Paz,El Alto,ADELA ZAMUDIO,0,0,1,0,0,0,,16,Menos de un año,NA,Comunidad y Sociedad,0,,1,Computadora de escritorio,1,1,1,Por cuenta propia,Sí,Sí,No,Sí
Sí,Femenino,36,Oruro,Oruro,JUAN MISAEL SARACHO SECUNDARIA,1,0,0,0,1,0,,8,Más de un año,5,Comunidad y Sociedad,0,,1,Computadora portátil,1,0,NA,Dotada por el ministerio,No,Sí,No,Sí
Sí,Femenino,51,Oruro,Oruro,JUAN MISAEL SARACHO SECUNDARIA,1,0,1,1,0,0,,26,Más de un año,10,Comunidad y Sociedad,0,,1,Computadora portátil,1,0,NA,Dotada por el ministerio,Sí,Sí,No,Sí
Sí,Femenino,50,Beni,Trinidad,MARIO SAELLY Mañana,1,0,1,1,0,0,,22,Más de un año,20,"Vida, Tierra y Territorio",0,,1,Computadora portátil,2,0,NA,Por cuenta propia,Sí,Sí,No,Sí
Sí,Femenino,35,Santa Cruz,Santa Cruz de la Sierra,EVANGELICO BUENAS NUEVAS,1,1,0,0,0,0,,12,Más de un año,6,Comunidad y Sociedad,0,,1,Computadora portátil,2,0,NA,Dotada por el ministerio,Sí,Sí,Sí,Sí
Sí,Femenino,32,Santa Cruz,Santa Cruz de la Sierra,CASTULO CHAVEZ MAÑANA,1,0,0,0,0,0,,7,Más de un año,4,Comunidad y Sociedad,0,,1,Computadora portátil,1,1,1,Dotada por el ministerio,Sí,Sí,No,Sí
Sí,Masculino,58,La Paz,La Paz,PEDRO POVEDA A,1,0,0,0,0,0,Dirección  técnico en Fútbol ,38,Más de un año,29,Comunidad y Sociedad,0,,1,Computadora portátil,2,1,1,Dotada por el ministerio,Sí,Sí,No,Sí
Sí,Femenino,42,Cochabamba,Sacaba,RAMON GERMAN PRADA,1,0,1,0,0,0,,20,Menos de un año,NA,"Ciencia, Tecnología y Producción",0,,1,Computadora portátil,1,0,NA,Dotada por el ministerio,Sí,Sí,Sí,Sí
Sí,Femenino,45,Cochabamba,Sacaba,RAMON GERMAN PRADA,1,0,1,0,0,0,,21,Más de un año,8,"Vida, Tierra y Territorio",0,,1,Computadora portátil,2,0,NA,Dotada por el ministerio,Sí,Sí,No,Sí
Sí,Femenino,50,La Paz,La Paz,CRISTIANO VIDA NUEVA,1,0,1,0,1,0,,25,Más de un año,14,Comunidad y Sociedad,1,,1,Computadora de escritorio,2,1,1,Por cuenta propia,Sí,Sí,No,Sí
Sí,Femenino,35,La Paz,La Paz,ISAAC MALDONADO REQUE,1,0,1,1,0,0,,8,Más de un año,2,"Vida, Tierra y Territorio",1,manejo de videos y audios,1,Computadora portátil,1,0,NA,Dotada por el ministerio,Sí,Sí,No,Sí
Sí,Femenino,43,La Paz,El Alto,JOSE ANTONIO PAREDES CANDIA,1,0,0,0,0,0,,20,Más de un año,6,Comunidad y Sociedad,1,Inkscape,1,Computadora de escritorio,1,0,NA,Por cuenta propia,Sí,Sí,No,Sí
Sí,Femenino,37,Cochabamba,Sacaba,RAMON GERMAN PRADA,1,0,0,1,0,0,,13,Más de un año,2,Comunidad y Sociedad,1,inclusion digital agetic,1,Computadora portátil,2,1,1,Dotada por el ministerio,Sí,Sí,Sí,No
Sí,Masculino,41,Cochabamba,Sacaba,RAMON GERMAN PRADA,1,0,0,0,1,0,,19,Más de un año,12,Comunidad y Sociedad,1,Inclusion digital,1,Computadora portátil,3,0,NA,Por cuenta propia,Sí,Sí,No,Sí
Sí,Femenino,52,Cochabamba,Sacaba,RAMON GERMAN PRADA,0,0,1,0,0,0,,28,Más de un año,16,"Ciencia, Tecnología y Producción",1,Tics-Unesco,1,Computadora portátil,2,0,NA,Dotada por el ministerio,No,Sí,No,Sí
No,Masculino,56,La Paz,La Paz,ISAAC MALDONADO REQUE,0,0,0,0,0,0,Titular por antigüedad ,30,Menos de un año,NA,Comunidad y Sociedad,0,,1,Computadora de escritorio,2,0,NA,Por cuenta propia,No,No,No,No
Sí,Femenino,39,La Paz,La Paz,ISAAC MALDONADO REQUE,0,0,1,0,0,0,,6,Menos de un año,NA,Comunidad y Sociedad,1,Programa de inclución digital,1,Computadora portátil,1,1,1,Por cuenta propia,No,Sí,No,Sí
Sí,Femenino,50,La Paz,El Alto,27 DE MAYO B,1,0,1,0,0,0,,21,Más de un año,10,Cosmos y Pensamiento,1,boliviamar,1,Computadora portátil,2,0,NA,Por cuenta propia,Sí,Sí,No,Sí
Sí,Femenino,27,Santa Cruz,Santa Cruz de la Sierra,HERMANOS ANTONIO Y MARCOS CAVANIS,1,0,1,0,0,0,,5,Más de un año,2,Comunidad y Sociedad,0,,1,Computadora portátil,1,0,NA,Por cuenta propia,Sí,Sí,Sí,Sí
Sí,Femenino,47,Santa Cruz,Montero,San José Obrero Mañana,0,0,1,0,0,0,Diplomados en gestion y tecnica tecnologica general,20,Más de un año,2,Comunidad y Sociedad,1,Las tic,1,Computadora portátil,2,0,NA,Dotada por el ministerio,Sí,Sí,No,Sí
Sí,Masculino,31,Beni,Trinidad,LA SALLE FISCAL Tarde,0,0,1,0,1,0,,3,Más de un año,2,"Ciencia, Tecnología y Producción",1,Inclusión Digital,1,Computadora portátil,3,1,1,Por cuenta propia,Sí,Sí,No,Sí
Sí,Femenino,61,Oruro,Oruro,BOLIVIA DE VINTO SECUNDARIA,0,0,1,0,0,0,,30,Más de un año,15,"Ciencia, Tecnología y Producción",1,uso de las tics,1,Computadora de escritorio,1,0,NA,Por cuenta propia,No,Sí,Sí,Sí
Sí,Masculino,34,La Paz,El Alto,AYACUCHO TARDE,1,0,1,1,0,0,,10,Más de un año,3,Comunidad y Sociedad,1,Tic ciencias sociales,1,Computadora portátil,1,0,NA,Dotada por el ministerio,Sí,Sí,Sí,Sí
Sí,Femenino,34,La Paz,El Alto,JOSE ANTONIO PAREDES CANDIA,1,0,1,1,0,0,,12,Más de un año,8,"Vida, Tierra y Territorio",1,Inskape,1,Computadora portátil,1,0,NA,Dotada por el ministerio,Sí,Sí,No,Sí
Sí,Femenino,33,Oruro,Oruro,PANTALEON DALENCE 1,0,0,1,0,0,0,,12,Más de un año,8,"Vida, Tierra y Territorio",1,El de AGETIC,1,Computadora portátil,1,0,NA,Dotada por el ministerio,Sí,Sí,Sí,Sí
Sí,Masculino,20,Tarija,Tarija,BOLIVIA 2 Mañana,0,0,0,1,0,0,,6,Más de un año,2,"Vida, Tierra y Territorio",1,computacion,1,Computadora de escritorio,1,0,NA,Dotada por el ministerio,No,Sí,No,Sí
Sí,Femenino,57,La Paz,La Paz,PEDRO POVEDA A,1,0,1,1,0,0,,35,Más de un año,18,Comunidad y Sociedad,1,Manejo de Kipus,1,Computadora portátil,1,0,NA,Dotada por el ministerio,Sí,Sí,No,Sí
Sí,Femenino,45,Oruro,Oruro,JESUS DE NAZARETH,1,0,1,0,0,0,,23,Más de un año,19,"Vida, Tierra y Territorio",1,Manejo de tics en el aula,1,Computadora portátil,1,0,NA,Dotada por el ministerio,Sí,Sí,No,Sí
Sí,Masculino,65,La Paz,La Paz,ISAAC MALDONADO REQUE,1,0,1,0,0,0,Diplomado diseño curricular,40,Más de un año,11,"Ciencia, Tecnología y Producción",1,Resolución gráfica ecuaciones 1er grado,1,Computadora portátil,1,1,1,Dotada por el ministerio,No,Sí,Sí,Sí
Sí,Femenino,39,La Paz,El Alto,SAN MARTIN DE PORRES MAÑANA,0,0,1,0,0,0,,8,Más de un año,5,Cosmos y Pensamiento,0,,1,Computadora portátil,1,0,NA,Dotada por el ministerio,Sí,Sí,No,Sí
Sí,Masculino,78,Cochabamba,Quillacollo,CALAMA,0,0,1,0,0,0,,11,Más de un año,5,"Vida, Tierra y Territorio",0,,1,Computadora portátil,1,0,NA,Dotada por el ministerio,Sí,Sí,No,No
Sí,Femenino,45,La Paz,La Paz,NATALIA PALACIOS,1,0,1,0,0,0,,20,Más de un año,13,Comunidad y Sociedad,1,Manejo de kuas y elaboración de planes ,1,Computadora portátil,2,0,NA,Dotada por el ministerio,Sí,Sí,No,Sí
Sí,Femenino,45,Santa Cruz,Montero,San José Obrero Mañana,1,0,1,1,0,0,,8,Más de un año,8,Cosmos y Pensamiento,1,,1,Computadora de escritorio,1,0,NA,Por algún familiar,No,Sí,No,Sí
No,Masculino,39,La Paz,La Paz,MARIEN GARTEN C,1,0,1,0,0,0,,12,Más de un año,5,Cosmos y Pensamiento,1,TIC en aula,1,Computadora portátil,1,0,NA,Dotada por el ministerio,Sí,Sí,No,Sí
Sí,Femenino,29,Santa Cruz,Montero,San José Obrero Mañana,0,0,1,0,0,0,,8,Más de un año,7,Comunidad y Sociedad,1,Tics,1,Computadora portátil,1,0,NA,Dotada por el ministerio,Sí,Sí,Sí,Sí
Sí,Femenino,38,La Paz,La Paz,SAN SIMON DE AYACUCHO A,1,0,1,0,0,0,,14,Más de un año,2,"Vida, Tierra y Territorio",1,TICs e Inclusión digital,1,Computadora portátil,1,0,NA,Dotada por el ministerio,No,Sí,No,Sí
Sí,Femenino,56,Beni,Trinidad,MARIO SAELLY Mañana,1,0,1,1,0,0,,32,Más de un año,26,"Ciencia, Tecnología y Producción",1,Inclusion digital,1,Computadora portátil,1,0,NA,Dotada por el ministerio,Sí,Sí,No,No
Sí,Femenino,56,Beni,Trinidad,OTTO AGUILERA OJEDA Tarde,1,0,0,0,0,0,,33,Más de un año,30,"Ciencia, Tecnología y Producción",1,Geogebra,1,Computadora portátil,1,0,NA,Por cuenta propia,No,Sí,No,Sí
Sí,Femenino,35,La Paz,La Paz,HUGO DAVILA A,1,0,0,0,0,0,,7,Más de un año,2,"Vida, Tierra y Territorio",0,,1,Computadora portátil,2,1,1,Por cuenta propia,Sí,Sí,No,Sí
Sí,Masculino,53,La Paz,La Paz,NATALIA PALACIOS,0,0,1,0,0,0,,21,Más de un año,8,Comunidad y Sociedad,0,,1,Computadora portátil,1,0,NA,Dotada por el ministerio,Sí,Sí,No,Sí
Sí,Masculino,55,La Paz,El Alto,SIMON BOLIVAR TARDE,0,0,1,0,0,0,,30,Más de un año,23,Comunidad y Sociedad,1,classroom y agetic,1,Computadora portátil,2,1,2,Dotada por el ministerio,Sí,Sí,Sí,Sí
Sí,Femenino,34,Beni,Trinidad,OTTO AGUILERA OJEDA Tarde,0,1,0,0,0,0,,9,Más de un año,9,"Ciencia, Tecnología y Producción",0,,0,,NA,0,NA,Por algún familiar,No,Sí,No,Sí
Sí,Femenino,52,La Paz,La Paz,MAX VALDIVIA,0,0,1,0,0,0,,25,Más de un año,10,"Vida, Tierra y Territorio",1,Tic en biología ,1,Computadora portátil,1,0,NA,Dotada por el ministerio,Sí,Sí,No,Sí
Sí,Femenino,54,La Paz,La Paz,ALFREDO VARGAS B,1,0,1,0,0,0,,27,Menos de un año,NA,Comunidad y Sociedad,1,Tics,1,Computadora portátil,2,0,NA,Dotada por el ministerio,Sí,Sí,No,Sí
Sí,Masculino,47,La Paz,La Paz,25 DE MAYO,1,0,1,1,0,0,,21,Más de un año,7,"Vida, Tierra y Territorio",1,Intrumentas y erramientas virtuales ,1,Computadora portátil,2,1,1,Dotada por el ministerio,Sí,Sí,No,Sí
